"image_name","plot","subsample","pedigree","height","tapRoot","leafNum","flw","dlw","frw","drw","spr","pop","whole_Eccentricity","whole_EquivDiameter","whole_EulerNumber","whole_Perimeter","whole_Solidity","whole_BoundingBox","whole_BoundingBox.1","whole_BoundingBox.2","whole_BoundingBox.3","top_Eccentricity","top_EquivDiameter","top_EulerNumber","top_Perimeter","top_Solidity","top_BoundingBox","top_BoundingBox.1","top_BoundingBox.2","top_BoundingBox.3","bottom_Eccentricity","bottom_EquivDiameter","bottom_EulerNumber","bottom_Perimeter","bottom_Solidity","bottom_BoundingBox","bottom_BoundingBox.1","bottom_BoundingBox.2","bottom_BoundingBox.3","Petiole_Width","Petiole_Count","Petiole_Length","rootBio","shootBio","S_PC1","S_PC2","S_PC3","R_PC1","R_PC2","R_PC3"
"7196_rep114_16.50.37.NEF",7196,114,"95856",42.5,17,"5",1.8961194845523,-0.673344553263766,3.60983624677348,1.41958033875336,0,"f2",0.52237,880.23,-149,729.862204724409,0.14639,618.5,1304.5,45.8070866141732,50.3937007874016,0.8405,640.59,-16,462.57874015748,0.13494,722.5,1304.5,43.7007874015748,36.3385826771654,0.95395,252.49,0,23.9586614173228,0.89379,1912.5,0.5,3.07086614173228,10.1377952755906,0.312155511811024,6.4099,24.7759094488189,10.8211573330854,13.1997354451685,7476.61766722288,-1155.54395871078,-3726.98678998541,1.09896193977885,-2.30255055430756,0.393406707449483
"7196_rep115_16.51.05.NEF",7196,115,"95856",40,23.5,"5",1.34807314829969,-1.83258146374831,3.33291854090886,1.30954089337562,0,"f2",0.44878,743.08,-94,616.811023622047,0.10314,1133.5,1506.5,45.2165354330709,49.8228346456693,0.79819,691.87,-21,575.610236220473,0.11761,1133.5,1506.5,45.2165354330709,32.3622047244095,0.98613,252.82,1,36.0511811023622,0.42658,1918.5,0.5,6.00393700787402,13.5433070866142,0.30338188976378,5.3773,24.2009173228346,10.8238300648504,12.8220444619885,10825.343715497,2022.72885912345,-3614.17072311664,4.01509088300402,-0.220938473991022,0.939680096820792
"7196_rep116_16.51.27.NEF",7196,116,"95856",36,20,"5",1.80170980008122,-0.673344553263766,3.90439397826365,1.64869247116846,0,"f2",0.45685,890.17,-149,648.937007874016,0.16882,793.5,1401.5,48.1299212598425,49.2913385826772,0.67887,611.08,-15,356.673228346457,0.1695,925.5,1401.5,34.5866141732283,34.4291338582677,0.9711,287.6,1,27.494094488189,0.91619,1934.5,0.5,3.74015748031496,10.9448818897638,0.343974409448819,4.8801,21.2147952755906,11.0815885492945,13.1972686030955,4915.84842598678,2570.02339334642,-6984.16070732693,6.08354417970815,1.23317029743447,-0.835142160968665
"7196_rep117_16.51.56.NEF",7196,117,"95856",38.5,21,"8",2.46894663020927,0.631271776841858,4.19735231229633,2.20142467510399,0,"f2",0.62048,1181.8,-352,1038.01181102362,0.23984,553.5,1416.5,54.8818897637795,55.7874015748032,0.61333,941.73,-84,742.854330708661,0.31066,1495.5,1416.5,36.3385826771654,34.1338582677165,0.98029,370.81,1,53.2992125984252,0.56955,1743.5,0.5,6.8503937007874,17.7362204724409,0.35663188976378,9.7222,21.5358090551181,11.5898402087384,13.7801185858188,-2527.65779720037,2369.27185477753,-974.591031677222,-2.12894806318933,1.72339036021102,0.180763369310947
"7196_rep12_15.17.26.NEF",7196,12,"95856",40.5,21.5,"6",1.69193913394584,0.928219302739429,3.08099211750481,0.787364218114787,0,"f2",0.9844,511.46,-50,281.141732283465,0.22887,1846.5,2053.5,26.7322834645669,39.9409448818898,0.96759,375.6,-6,162.228346456693,0.26392,2035.5,2053.5,23.011811023622,21.5944881889764,0.99156,259.94,1,33.6476377952756,0.61004,1846.5,0.5,4.03543307086614,14.4291338582677,0.338009842519685,4.4019,23.8455748031496,10.8793105451116,11.8766514914957,16245.5991234922,4290.66499204059,-1967.36930642287,2.79682638008066,-0.63225160904177,-0.350180575847598
"7196_rep13_15.17.58.NEF",7196,13,"95856",50,18.5,"6",2.2364452904895,-0.478035800943001,3.15827620273927,1.07544367781688,0,"f2",0.69238,865.43,-118,839.311023622047,0.10584,241.5,1170.5,63.4448818897638,56.0826771653543,0.87658,795.19,-20,705.275590551181,0.12508,241.5,1170.5,63.4448818897638,38.9763779527559,0.9807,221.78,1,29.9055118110236,0.60046,1943.5,0.5,3.32677165354331,13.1889763779528,0.303944881889764,6.2986,28.8788681102362,10.5618103419419,13.1896630829612,10997.453543716,-850.512498430838,654.277007517369,-4.54003854258071,-1.67704330752951,-1.92095358768085
"7196_rep14_15.18.40.NEF",7196,14,"95856",42,8.5,"7",2.03339760317843,-0.527632742082372,3.49286457018798,1.32909955556997,0,"f2",0.77697,893.92,-153,833.346456692913,0.14741,365.5,1391.5,59.8818897637795,46.5354330708661,0.88655,616.91,-21,484.724409448819,0.16751,365.5,1391.5,37.1259842519685,34.6259842519685,0.93389,242.24,1,19.3566929133858,0.97663,1926.5,0.5,3.01181102362205,7.99212598425197,0.298206692913386,8.1608,27.8643897637795,10.7383078914122,13.2412498041009,10727.8320629948,-2207.99984809389,2170.40989914148,5.75479919822669,-1.12958286720549,0.281395982140171
"7196_rep15_15.19.15.NEF",7196,15,"95856",41,17.5,"5",1.08180517035173,-1.02165124753198,2.57337529777561,0.0976430242636465,0,"f2",0.63149,663.1,-81,557.322834645669,0.099891,1236.5,1617.5,45.1968503937008,47.007874015748,0.82699,434.85,-4,195.080708661417,0.2262,1313.5,1617.5,15.6299212598425,30.1771653543307,0.99293,215.54,1,28.7342519685039,0.66781,1852.5,0.5,3.74015748031496,12.9133858267717,0.317645669291339,5.8982,21.2976181102362,10.5047387183915,12.6082189190611,12952.169848237,5263.6104876714,122.533967359258,1.73827375036262,-0.565429114978081,0.439727427197118
"7196_rep16_15.19.44.NEF",7196,16,"95856",43,13,"5",1.4036429994545,0.157003748809665,2.52812576890798,-0.0690618393824238,0,"f2",0.45304,736.42,-88,633.661417322835,0.099309,748.5,1202.5,48.9763779527559,50.8070866141732,0.7985,610.99,-16,402.677165354331,0.13139,1221.5,1202.5,39.6653543307087,38.3464566929134,0.97063,190.44,1,19.6529527559055,0.8251,1974.5,0.5,2.7755905511811,8.54330708661417,0.309064960629921,4.0816,24.9826909448819,10.257097805102,12.8651510190487,12320.442798493,-997.186710504367,-1658.37432234741,1.32034572895132,-2.37299753017377,-0.797071198724944
"7196_rep18_15.20.49.NEF",7196,18,"95856",41,NA,"7",2.37583555473364,-0.755022584278031,3.16209381076922,0.988126095597263,0,"f2",0.63039,917.38,-141,796.456692913386,0.15104,543.5,1256.5,50.6496062992126,45.9448818897638,0.54316,813.84,-20,656.614173228347,0.18215,1170.5,1256.5,38.3070866141732,37.2834645669291,0.83023,200.01,1,14.1673228346457,0.97909,1945.5,0.5,2.8740157480315,4.74409448818898,0.35490157480315,7.578,23.7097381889764,10.3551362560599,13.3261626283745,6306.54186108501,161.324573061944,-1678.47339798434,9.44456849229564,3.50133603455386,-2.50600673579389
"7196_rep19_15.21.12.NEF",7196,19,"95856",45,12.5,"5",1.76130026174335,-0.342490308946775,3.43495447846029,1.25311008741187,1,"f2",0.43895,766.66,-98,603.740157480315,0.10166,570.5,1316.5,54.0354330708661,52.0669291338583,0.84497,598.52,-16,395.196850393701,0.11202,570.5,1316.5,46.4566929133858,36.1023622047244,0.95869,289.99,1,35.8385826771654,0.69106,1924.5,0.5,4.6259842519685,12.0472440944882,0.292318897637795,5.8849,29.3785531496063,11.0981521697904,12.8607959953417,12876.9741465347,-2623.28780188835,-1924.42836665216,-1.2392101072251,2.31818411025868,-0.17284428587589
"7196_rep2_15.10.12.NEF",7196,2,"95856",48,13.5,"5",1.66392609771817,-2.20727491318973,3.19417321222783,0.954882969606098,0,"f2",0.96046,511.79,-53,281.122047244095,0.13207,1961.5,1084.5,26.5551181102362,53.0905511811024,0.99545,326.48,-1,122.935039370079,0.22531,2053.5,1084.5,22.1456692913386,40.6692913385827,0.93765,227.28,1,20.0255905511811,0.94222,1961.5,0.5,2.81496062992126,8.50393700787402,0.327366141732283,4.1713,24.3297696850394,10.610808804652,11.9629878323105,16714.6889265841,1667.98228122716,-2182.93872421611,1.85287410201916,-2.93759818657204,0.358361513275431
"7196_rep20_15.24.06.NEF",7196,20,"95856",49,15.5,"6",2.43973493114128,0.300104592450338,3.66253547877433,1.53695278109664,1,"f2",0.70739,955.36,-232,974.98031496063,0.11877,355.5,969.5,66.1023622047244,57.4606299212598,0.85192,602.15,-16,409.606299212598,0.19913,1422.5,969.5,22.1259842519685,42.9330708661417,0.7575,304.09,0,37.9665354330709,0.52474,1860.5,0.5,7.95275590551181,10.6102362204724,0.337139763779528,6.337,34.4699744094488,11.1930920325014,13.3555713124734,9419.7444065145,-2716.64967646636,230.703812136805,-4.87302876456541,0.345531180886506,0.528407396626869
"7196_rep21_15.24.57.NEF",7196,21,"95856",46,18.5,"11",3.65377027700037,1.63899671467564,4.93526498707148,2.8370812635819,1,"f2",0.72504,1555.6,-376,978.799212598425,0.27956,193.5,1309.5,69.7637795275591,59.0748031496063,0.88593,1336.1,-82,759.763779527559,0.32815,193.5,1309.5,65.0984251968504,36.240157480315,0.97263,458.58,0,50.3385826771654,0.78741,1883.5,0.5,6.25984251968504,18.9173228346457,0.464830708661417,11.5414,21.8679803149606,12.0147002532158,14.3333747527698,-9866.07403432827,3478.65632238017,8066.15109989743,-0.424540642292632,2.37514270154423,0.187467701743885
"7196_rep22_15.26.51.NEF",7196,22,"95856",60,14.5,"11",3.75279277985759,1.84371920815877,4.70138904372863,2.69155180736709,1,"f2",0.50386,1560.2,-249,1180.33464566929,0.25938,568.5,431.5,58.7204724409449,70.4133858267717,0.45053,1372.9,-54,881.082677165354,0.29559,663.5,431.5,56.8503937007874,53.5236220472441,0.81126,432.19,0,102.702755905512,0.35332,1702.5,0.5,21.3188976377953,12.9724409448819,0.541106299212598,10.6396,29.403687007874,11.8961654138197,14.3655976632833,-8389.42844606342,-18418.070042824,5336.57120261467,-5.51016346239884,-1.15537734143803,0.499709353210437
"7196_rep23_15.27.59.NEF",7196,23,"95856",38,22.5,"7",2.57718192589717,0.412109650826833,4.63443768366866,2.43449847962298,1,"f2",0.41693,1079.3,-196,940.314960629921,0.1973,771.5,1363.5,51.3385826771654,56.7716535433071,0.85894,537.31,-8,259.803149606299,0.26544,1989.5,1880.5,27.3622047244095,25,0.81848,449.05,1,71.2814960629921,0.56741,1867.5,0.5,8.91732283464567,17.6771653543307,0.365185039370079,6.9041,20.2068090551181,11.9727019750604,13.5127216158691,1688.85165427607,3692.14541165475,-2148.3464289232,-2.19983547634363,-1.52691355496335,1.00464723368424
